Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Anomaly_Score,Is_Anomaly
2025-09-30 00:00:00-04:00,24.6517985958394,24.661719063627046,24.502995363296257,24.64187812805176,194600,0.0,0.0,0.0,0.012481747566599194,False
2025-10-01 00:00:00-04:00,24.929562999983595,25.07836811794516,24.929562999983595,24.999006271362305,77200,0.0,0.0,0.0,0.0059840116504166424,False
2025-10-02 00:00:00-04:00,24.999007468346942,25.137890233482903,24.860122811075215,25.01884651184082,347800,0.0,0.0,0.0,0.011129243341429399,False
2025-10-03 00:00:00-04:00,25.336296234960187,25.39581715072223,25.306534831011263,25.385896682739254,45100,0.0,0.0,0.0,0.006632194265263321,False
2025-10-06 00:00:00-04:00,25.018846900324483,25.05852877219993,24.850202729125417,24.899805068969727,71100,0.0,0.0,0.0,0.006759882424605288,False
2025-10-07 00:00:00-04:00,25.256930992210076,25.33629473136397,25.157730102539062,25.157730102539062,57800,0.0,0.0,0.0,0.0051051026209084,False
2025-10-08 00:00:00-04:00,25.375975328062083,25.594219939654145,25.375975328062083,25.46525764465332,60100,0.0,0.0,0.0,0.006156215472535096,False
2025-10-09 00:00:00-04:00,25.068447650605343,25.1974099417516,24.98908580402249,24.999006271362305,93700,0.0,0.0,0.0,0.0036947267808345166,False
2025-10-10 00:00:00-04:00,25.088288657563787,25.15773003700688,24.67163848876953,24.67163848876953,67100,0.0,0.0,0.0,0.008828420167086749,False
2025-10-13 00:00:00-04:00,24.98908611592625,25.098207473754883,24.979165648462608,25.098207473754883,54600,0.0,0.0,0.0,0.006983516216464078,False
2025-10-14 00:00:00-04:00,25.09820796928417,25.2767726028838,25.05852799078189,25.247013092041016,35800,0.0,0.0,0.0,0.0075587060272290065,False
2025-10-15 00:00:00-04:00,25.23709297180176,25.31645482203458,25.137890185976797,25.23709297180176,70800,0.0,0.0,0.0,0.004171747612772539,False
2025-10-16 00:00:00-04:00,25.227173199392773,25.316455519882734,25.18749132711465,25.21725273132324,25900,0.0,0.0,0.0,0.008099112750916187,False
2025-10-17 00:00:00-04:00,25.15773025859217,25.20733070373535,25.07836841108168,25.20733070373535,27600,0.0,0.0,0.0,0.008305718959308742,False
2025-10-20 00:00:00-04:00,25.20733159212877,25.20733159212877,25.098208338405072,25.12796974182129,47800,0.0,0.0,0.0,0.006280313700286988,False
2025-10-21 00:00:00-04:00,25.09820840157883,25.09820840157883,24.87996378571785,24.909725189208984,81500,0.0,0.0,0.0,0.005399811582604372,False
2025-10-22 00:00:00-04:00,24.73116114418219,24.73116114418219,24.62203788757324,24.62203788757324,49500,0.0,0.0,0.0,0.015811039242103725,False
