date,action,capital_after,shares_held
2025-11-11 00:00:00-05:00,HOLD,200000,0
2025-11-14 00:00:00-05:00,HOLD,200000,0
2025-11-21 00:00:00-05:00,HOLD,200000,0
2025-12-04 00:00:00-05:00,HOLD,200000,0
2026-02-26 00:00:00-05:00,HOLD,200000,0
2026-02-27 00:00:00-05:00,HOLD,200000,0
2026-03-06 00:00:00-05:00,HOLD,200000,0
