Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-09-30 00:00:00-04:00,24.651798595839402,24.661719063627046,24.502995363296257,24.641878128051758,194600,0.0,0.0,0.0
2025-10-01 00:00:00-04:00,24.929562999983595,25.078368117945157,24.929562999983595,24.999006271362305,77200,0.0,0.0,0.0
2025-10-02 00:00:00-04:00,24.999007468346942,25.137890233482903,24.860122811075218,25.01884651184082,347800,0.0,0.0,0.0
2025-10-03 00:00:00-04:00,25.336296234960187,25.39581715072223,25.306534831011266,25.385896682739258,45100,0.0,0.0,0.0
2025-10-06 00:00:00-04:00,25.018846900324483,25.05852877219993,24.850202729125417,24.899805068969727,71100,0.0,0.0,0.0
2025-10-07 00:00:00-04:00,25.256930992210073,25.336294731363974,25.157730102539062,25.157730102539062,57800,0.0,0.0,0.0
2025-10-08 00:00:00-04:00,25.375975328062083,25.594219939654145,25.375975328062083,25.46525764465332,60100,0.0,0.0,0.0
2025-10-09 00:00:00-04:00,25.068447650605343,25.197409941751598,24.98908580402249,24.999006271362305,93700,0.0,0.0,0.0
2025-10-10 00:00:00-04:00,25.088288657563787,25.157730037006882,24.67163848876953,24.67163848876953,67100,0.0,0.0,0.0
2025-10-13 00:00:00-04:00,24.98908611592625,25.098207473754883,24.979165648462608,25.098207473754883,54600,0.0,0.0,0.0
2025-10-14 00:00:00-04:00,25.098207969284175,25.276772602883796,25.05852799078189,25.247013092041016,35800,0.0,0.0,0.0
2025-10-15 00:00:00-04:00,25.237092971801758,25.31645482203458,25.137890185976794,25.237092971801758,70800,0.0,0.0,0.0
2025-10-16 00:00:00-04:00,25.227173199392773,25.316455519882734,25.18749132711465,25.217252731323242,25900,0.0,0.0,0.0
2025-10-17 00:00:00-04:00,25.157730258592174,25.20733070373535,25.078368411081676,25.20733070373535,27600,0.0,0.0,0.0
2025-10-20 00:00:00-04:00,25.207331592128774,25.207331592128774,25.098208338405072,25.12796974182129,47800,0.0,0.0,0.0
2025-10-21 00:00:00-04:00,25.09820840157883,25.09820840157883,24.879963785717855,24.909725189208984,81500,0.0,0.0,0.0
2025-10-22 00:00:00-04:00,24.73116114418219,24.73116114418219,24.622037887573242,24.622037887573242,49500,0.0,0.0,0.0
2025-10-23 00:00:00-04:00,24.741081391229642,24.860123222707042,24.681558583355145,24.790681838989258,64500,0.0,0.0,0.0
2025-10-24 00:00:00-04:00,24.612115895067838,24.622036362521083,24.502994537353516,24.502994537353516,55000,0.0,0.0,0.0
2025-10-27 00:00:00-04:00,24.205387115478516,24.235148518975965,24.145866200619388,24.205387115478516,60600,0.0,0.0,0.0
2025-10-28 00:00:00-04:00,24.165707651567857,24.334351824044518,24.165707651567857,24.24506950378418,89300,0.0,0.0,0.0
2025-10-29 00:00:00-04:00,24.552595485967228,24.6418778027416,24.41371272304519,24.542675018310547,77600,0.0,0.0,0.0
2025-10-30 00:00:00-04:00,24.314510369500063,24.314510369500063,24.165707136284354,24.205387115478516,41400,0.0,0.0,0.0
2025-10-31 00:00:00-04:00,24.27482897433519,24.38395223049725,24.27482897433519,24.354190826416016,55000,0.0,0.0,0.0
2025-11-03 00:00:00-05:00,24.036742142669578,24.036742142669578,23.937539359798432,23.957380294799805,133200,0.0,0.0,0.0
2025-11-04 00:00:00-05:00,24.08634407856995,24.20538590232192,24.0665031438994,24.185544967651367,136900,0.0,0.0,0.0
2025-11-05 00:00:00-05:00,23.91770083352159,24.046663129544488,23.878018962661777,23.99706268310547,67200,0.0,0.0,0.0
2025-11-06 00:00:00-05:00,24.03674355391741,24.03674355391741,23.887940316941997,23.917701721191406,82200,0.0,0.0,0.0
2025-11-07 00:00:00-05:00,23.63001357063342,23.63001357063342,23.48121033524839,23.60025405883789,98200,0.0,0.0,0.0
2025-11-10 00:00:00-05:00,23.481209666252536,23.570491983366995,23.44152779547467,23.510971069335938,89300,0.0,0.0,0.0
2025-11-11 00:00:00-05:00,23.25304517153342,23.31256608706407,23.163762852169544,23.223283767700195,163500,0.0,0.0,0.0
2025-11-12 00:00:00-05:00,23.372086089367606,23.451447937686133,23.312565176162636,23.411767959594727,71800,0.0,0.0,0.0
2025-11-13 00:00:00-05:00,23.50105094909668,23.600253735372288,23.41176863066221,23.50105094909668,160700,0.0,0.0,0.0
2025-11-14 00:00:00-05:00,23.104240764682405,23.134000274870292,22.98519704752377,23.09432029724121,203900,0.0,0.0,0.0
2025-11-17 00:00:00-05:00,23.808578338031225,23.8184988060617,23.679616037906644,23.75897789001465,132300,0.0,0.0,0.0
2025-11-18 00:00:00-05:00,23.739136413583292,23.84825966729877,23.68953407456,23.828418731689453,185900,0.0,0.0,0.0
2025-11-19 00:00:00-05:00,24.046663631984735,24.096265971595912,23.858178525733837,24.0367431640625,188400,0.0,0.0,0.0
2025-11-20 00:00:00-05:00,24.364109960548685,24.403791830484483,24.155785819792843,24.175626754760742,248600,0.0,0.0,0.0
2025-11-21 00:00:00-05:00,24.691478512968313,24.889884083952403,24.63195759852739,24.860122680664062,432200,0.0,0.0,0.0
2025-11-24 00:00:00-05:00,24.83036249612456,24.860122006470082,24.721239245829103,24.77083969116211,216400,0.0,0.0,0.0
2025-11-25 00:00:00-05:00,24.721240108644416,24.800601959228516,24.6517987259003,24.800601959228516,160000,0.0,0.0,0.0
2025-11-26 00:00:00-05:00,24.870042645381908,24.870042645381908,24.731159883783675,24.82044219970703,138300,0.0,0.0,0.0
2025-11-28 00:00:00-05:00,24.81052270895502,25.028767327506955,24.81052270895502,25.008926391601562,171400,0.0,0.0,0.0
2025-12-01 00:00:00-05:00,24.969245371679264,25.07836862247693,24.860122120881602,25.038686752319336,140900,0.0,0.0,0.0
2025-12-02 00:00:00-05:00,24.959325466156105,24.989086869444446,24.810522233985917,24.860122680664062,265100,0.0,0.0,0.0
2025-12-03 00:00:00-05:00,24.51291380794313,24.51291380794313,24.383951511664492,24.483154296875,128100,0.0,0.0,0.0
2025-12-04 00:00:00-05:00,24.32443019708553,24.32443019708553,24.006982803344727,24.006982803344727,431900,0.0,0.0,0.0
2025-12-05 00:00:00-05:00,24.40379260097965,24.58235723705712,24.40379260097965,24.53275489807129,81800,0.0,0.0,0.0
2025-12-08 00:00:00-05:00,24.473233503421397,24.473233503421397,24.304589338448775,24.38395118713379,77900,0.0,0.0,0.0
2025-12-09 00:00:00-05:00,24.4137132615186,24.473234176635742,24.30459000702402,24.473234176635742,268200,0.0,0.0,0.0
2025-12-10 00:00:00-05:00,24.29466934734658,24.60219628051569,24.29466934734658,24.53275489807129,133400,0.0,0.0,0.0
2025-12-11 00:00:00-05:00,24.542674784374846,24.82044219970703,24.542674784374846,24.82044219970703,146200,0.0,0.0,0.0
2025-12-12 00:00:00-05:00,24.88988395170715,24.899804419417222,24.701398849487305,24.701398849487305,72400,0.0,0.0,0.0
2025-12-15 00:00:00-05:00,24.879963654877386,24.879963654877386,24.751001358032227,24.751001358032227,109400,0.0,0.0,0.0
2025-12-16 00:00:00-05:00,24.950000762939453,25.190000534057617,24.950000762939453,25.190000534057617,49200,0.199,0.0,0.0
2025-12-17 00:00:00-05:00,25.149999618530273,25.219999313354492,25.059999465942383,25.100000381469727,112200,0.0,0.0,0.0
2025-12-18 00:00:00-05:00,25.059999465942383,25.06999969482422,24.940000534057617,25.010000228881836,42000,0.0,0.0,0.0
2025-12-19 00:00:00-05:00,24.639999389648438,24.690000534057617,24.600000381469727,24.65999984741211,211800,0.0,0.0,0.0
2025-12-22 00:00:00-05:00,24.790000915527344,24.959999084472656,24.790000915527344,24.959999084472656,99300,0.0,0.0,0.0
2025-12-23 00:00:00-05:00,24.860000610351562,24.959999084472656,24.799999237060547,24.93000030517578,43000,0.0,0.0,0.0
2025-12-24 00:00:00-05:00,24.969999313354492,24.969999313354492,24.829999923706055,24.940000534057617,52700,0.0,0.0,0.0
2025-12-26 00:00:00-05:00,24.979999542236328,25.079999923706055,24.959999084472656,25.079999923706055,112000,0.0,0.0,0.0
2025-12-29 00:00:00-05:00,25.06999969482422,25.110000610351562,24.969999313354492,25.09000015258789,135500,0.0,0.0,0.0
2025-12-30 00:00:00-05:00,25.030000686645508,25.059999465942383,24.969999313354492,25.059999465942383,41400,0.0,0.0,0.0
2025-12-31 00:00:00-05:00,25.059999465942383,25.06999969482422,24.920000076293945,24.920000076293945,174400,0.0,0.0,0.0
2026-01-02 00:00:00-05:00,25.25,25.31999969482422,25.209999084472656,25.299999237060547,84200,0.0,0.0,0.0
2026-01-05 00:00:00-05:00,25.40999984741211,25.540000915527344,25.3700008392334,25.459999084472656,152100,0.0,0.0,0.0
2026-01-06 00:00:00-05:00,25.690000534057617,25.979999542236328,25.59000015258789,25.979999542236328,160200,0.0,0.0,0.0
2026-01-07 00:00:00-05:00,25.799999237060547,25.940000534057617,25.770000457763672,25.920000076293945,153500,0.0,0.0,0.0
2026-01-08 00:00:00-05:00,25.989999771118164,26.1200008392334,25.989999771118164,26.079999923706055,97300,0.0,0.0,0.0
2026-01-09 00:00:00-05:00,26.079999923706055,26.190000534057617,26.079999923706055,26.1299991607666,270600,0.0,0.0,0.0
2026-01-12 00:00:00-05:00,26.270000457763672,26.420000076293945,26.260000228881836,26.40999984741211,208600,0.0,0.0,0.0
2026-01-13 00:00:00-05:00,26.34000015258789,26.34000015258789,26.149999618530273,26.239999771118164,150700,0.0,0.0,0.0
2026-01-14 00:00:00-05:00,26.139999389648438,26.139999389648438,26.010000228881836,26.040000915527344,146800,0.0,0.0,0.0
2026-01-15 00:00:00-05:00,26.34000015258789,26.540000915527344,26.329999923706055,26.3799991607666,117800,0.0,0.0,0.0
2026-01-16 00:00:00-05:00,26.43000030517578,26.43000030517578,26.309999465942383,26.420000076293945,107900,0.0,0.0,0.0
2026-01-20 00:00:00-05:00,26.110000610351562,26.149999618530273,26.0,26.0,266300,0.0,0.0,0.0
2026-01-21 00:00:00-05:00,26.100000381469727,26.270000457763672,26.040000915527344,26.270000457763672,145600,0.0,0.0,0.0
2026-01-22 00:00:00-05:00,26.459999084472656,26.520000457763672,26.350000381469727,26.350000381469727,137600,0.0,0.0,0.0
2026-01-23 00:00:00-05:00,26.229999542236328,26.239999771118164,26.110000610351562,26.209999084472656,159000,0.0,0.0,0.0
2026-01-26 00:00:00-05:00,26.040000915527344,26.059999465942383,25.920000076293945,26.030000686645508,175600,0.0,0.0,0.0
2026-01-27 00:00:00-05:00,26.110000610351562,26.229999542236328,26.020000457763672,26.229999542236328,273500,0.0,0.0,0.0
2026-01-28 00:00:00-05:00,26.299999237060547,26.3799991607666,26.15999984741211,26.329999923706055,214800,0.0,0.0,0.0
2026-01-29 00:00:00-05:00,25.799999237060547,25.799999237060547,25.540000915527344,25.649999618530273,239000,0.0,0.0,0.0
2026-01-30 00:00:00-05:00,25.940000534057617,26.079999923706055,25.940000534057617,25.969999313354492,136700,0.0,0.0,0.0
2026-02-02 00:00:00-05:00,26.040000915527344,26.299999237060547,26.040000915527344,26.239999771118164,188800,0.0,0.0,0.0
2026-02-03 00:00:00-05:00,26.489999771118164,26.489999771118164,26.290000915527344,26.450000762939453,122100,0.0,0.0,0.0
2026-02-04 00:00:00-05:00,26.469999313354492,26.469999313354492,26.239999771118164,26.329999923706055,159600,0.0,0.0,0.0
2026-02-05 00:00:00-05:00,26.3700008392334,26.489999771118164,26.360000610351562,26.450000762939453,74300,0.0,0.0,0.0
2026-02-06 00:00:00-05:00,26.5,26.799999237060547,26.5,26.729999542236328,64400,0.0,0.0,0.0
2026-02-09 00:00:00-05:00,26.549999237060547,26.549999237060547,26.399999618530273,26.420000076293945,174200,0.0,0.0,0.0
2026-02-10 00:00:00-05:00,26.84000015258789,26.979999542236328,26.84000015258789,26.93000030517578,71000,0.0,0.0,0.0
2026-02-11 00:00:00-05:00,27.139999389648438,27.270000457763672,27.139999389648438,27.25,175500,0.0,0.0,0.0
2026-02-12 00:00:00-05:00,27.239999771118164,27.280000686645508,26.940000534057617,26.940000534057617,220900,0.0,0.0,0.0
2026-02-13 00:00:00-05:00,27.0,27.06999969482422,26.889999389648438,26.969999313354492,134900,0.0,0.0,0.0
2026-02-17 00:00:00-05:00,26.579999923706055,26.760000228881836,26.559999465942383,26.68000030517578,76400,0.0,0.0,0.0
2026-02-18 00:00:00-05:00,26.729999542236328,26.959999084472656,26.729999542236328,26.780000686645508,63200,0.0,0.0,0.0
2026-02-19 00:00:00-05:00,26.770000457763672,26.899999618530273,26.700000762939453,26.829999923706055,62700,0.0,0.0,0.0
2026-02-20 00:00:00-05:00,26.920000076293945,27.200000762939453,26.920000076293945,27.15999984741211,161900,0.0,0.0,0.0
2026-02-23 00:00:00-05:00,27.489999771118164,27.579999923706055,27.440000534057617,27.530000686645508,264700,0.0,0.0,0.0
2026-02-24 00:00:00-05:00,27.649999618530273,27.790000915527344,27.559999465942383,27.729999542236328,372900,0.0,0.0,0.0
2026-02-25 00:00:00-05:00,28.09000015258789,28.399999618530273,28.06999969482422,28.3700008392334,189600,0.0,0.0,0.0
2026-02-26 00:00:00-05:00,28.299999237060547,28.299999237060547,28.010000228881836,28.149999618530273,94400,0.0,0.0,0.0
2026-02-27 00:00:00-05:00,27.979999542236328,28.020000457763672,27.790000915527344,27.90999984741211,59400,0.0,0.0,0.0
2026-03-02 00:00:00-05:00,27.0,27.049999237060547,26.81999969482422,26.90999984741211,262400,0.0,0.0,0.0
2026-03-03 00:00:00-05:00,26.690000534057617,26.729999542236328,26.200000762939453,26.639999389648438,258500,0.0,0.0,0.0
2026-03-04 00:00:00-05:00,26.3799991607666,26.469999313354492,26.239999771118164,26.389999389648438,158800,0.0,0.0,0.0
2026-03-05 00:00:00-05:00,26.440000534057617,26.489999771118164,25.889999389648438,26.1299991607666,198800,0.0,0.0,0.0
2026-03-06 00:00:00-05:00,25.700000762939453,25.780000686645508,25.219999313354492,25.31999969482422,805100,0.0,0.0,0.0
2026-03-09 00:00:00-04:00,24.65999984741211,25.280000686645508,24.5,25.280000686645508,417800,0.0,0.0,0.0
2026-03-10 00:00:00-04:00,25.270000457763672,25.700000762939453,25.270000457763672,25.540000915527344,482300,0.0,0.0,0.0
2026-03-11 00:00:00-04:00,25.459999084472656,25.530000686645508,25.290000915527344,25.3799991607666,119700,0.0,0.0,0.0
2026-03-12 00:00:00-04:00,25.09000015258789,25.200000762939453,24.829999923706055,25.06999969482422,314900,0.0,0.0,0.0
